"","Organization","Identification number","...3","Registration date:","Section","Subsection","(Organisation) name","Legal status:","Website address:","Head office country","Head office address","Head office city","Head office post code","Head office post box","Head office phone","Belgium office address","Belgium office city","Belgium office post code","Belgium office post box","Belgium office phone","Person with legal responsibility","Position:...20","Person in charge of EU relations","Position:...22","Goals / remit","Level of interest","EU initiatives","Relevant communication","Inter groups","Industry forums","Commission Expert Groups And Other Similar Entities (European Commission)","Number of persons involved:","Full time equivalent (FTE)","Number of EP accredited persons","Persons accredited for access to European Parliament premises","Fields of interest","Membership","Member organisations","Financial year: Start Date","Financial year: End Date","Estimate of costs (absolute amount)","Estimate of costs (as a range)","Overall budget/Turnover (absolute amount)","Overall budget/Turnover (as a range)","Customers","Procurement:","Source...45","Grants:","Source...47"
"204","Crescent Group","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Dana Gas PJSC","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Dogan Holding","943845632260-85",NA,"08/08/2018","I - Professional consultancies/law firms/self-employed consultants","Professional consultancies","ZAY STRATEGY PUBLIC AFFAIRS CONSULTANCY (ZAY)","INCORPORATED","http://zay.com.tr","Turkey","GUMUSSUYU MAH. INONU CADDESI 45-3","ISTANBUL","34437",NA,"(+90)2122434230",NA,NA,NA,NA,NA,"ZAFER ALI YAVAN","PRESIDENT","ZAFER ALI YAVAN","PRESIDENT","ZAY Strategy is a business strategy consulting firm with a proven expertise in public affairs. ZAY Strategy supports firms and business organizations through strategic communications tools, by providing tactical input for business and investment strategy. We offer public affairs and strategic communication advice in a wide range of sectors, including Chemicals, Retail, Transport, digital, car, food and tourism industries.","European, global, national","Customs Union Related Trade Conflicts 
Third Party Liability Insurance Legislation, Turkey's harmonization 
Marine Tourism Legislation 
Transfer of R&D Data legislation 
Belt&Road Project 
Assisting Turkish Companies in UNSDG Alignment.",NA,NA,NA,"NA",7,4.25,NA,NA,"Business and Industry, Economy, finance and the euro, Agriculture and Rural Development, Trade, Customs, Employment and Social Affairs, Energy, Environment, Taxation, Research and innovation, Digital economy and society, Transport, Communication","Turkish Business and Industry Association (TUSIAD) www.tusiad.org 
Foreign Economic Relations Board (DEIK) www.deik.org.tr 
Society of European Affairs Professionals (SEAP) www.seap.be",NA,"01/01/2017","01/12/2017",NA,"100000-199999",NA,"100000-499999","MEDIAMARKT TURKEY# IYZICO# INCI HOLDING INCORPORATED# TURKEY TOURISM INVESTORS ASSOCIATION# TURKISH BUSINESS AND INDUSTRY ASSOCIATION# AXA INSURANCE# SIEMENS TURKEY",NA,NA,NA,NA
"207","HEINEKEN","827688315793-86",NA,"30/01/2015","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Heineken N.V.","N.V./S.A.: Public Limited Liability Company","http://www.theheinekencompany.com","Netherlands","21 Tweede Weteringplantsoen","Amsterdam","1017 ZD",NA,"(+31)0205239239","HEINEKEN Brussels Office 37 Square de Meeus, 4th Floor","Brussels","1000",NA,"(+32)27917540","Steven van Maasakker","Executive Director Global Legal Affairs","Sarah Boselli","Head of EU Affairs","HEINEKEN is a proud, independent global brewer committed to surprise and excite consumers with its brands and products everywhere.  
 
The brand that bears the founder's family name - Heineken® - is available in almost every country on the globe and is the world's most valuable international premium beer brand.  
 
The Company's aim is to be a leading brewer in each of the markets in which it operates and to have the world's most valuable brand portfolio.  
 
HEINEKEN wants to win in all markets with Heineken® and with a full brand portfolio in markets of choice. The Company is present in over 70 countries and operates more than 165 breweries.  
 
HEINEKEN is Europe's largest brewer and the world's second largest by consolidated volume.  
 
HEINEKEN is committed to the responsible marketing and consumption of its more than 250 international premium, regional, local and specialty beers and ciders. The number of people employed is over 81,000.","European, global, national","Engagement with EU institutions and departments in charge of legislation relevant to Heineken including agriculture, food safety, health, consumers, taxation, environment, transport, trade and enterprise. 
 
Participation in platforms such as the European Alcohol and Health Forum, consultations and events at the invitation/request of the European Commission, the European Parliament and other bodies.",NA,NA,NA,"European Alcohol and Health Forum#E02224#http://ec.europa.eu/transparency/regexpert/index.cfm?do=groupDetail.groupDetail&groupID=2224#Member#C",4,2.5,2,"Boselli#Sarah, PARADELA GUTIERREZ#Jorge","Agriculture and Rural Development, Culture and media, Trade, Competition, Consumers, Customs, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Single market, Public Health, Climate Action","• The Brewers of Europe  
• The International Brands Association (AIM) 
• The World Federation of Advertisers (WFA) 
• Europen 
• Business Europe 
• European Round Table of Industrialists",NA,"01/01/2016","01/12/2016",NA,"400000-499999",0,NA,NA,NA,NA,NA,NA
"208","Henkel AG & Co KGaA","13635802880-80",NA,"22/12/2009","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Henkel AG & Co. KGaA (Henkel)","AG & Co. KGaA","http://www.henkel.com","Germany","Henkelstrasse, 67","Düsseldorf","40589",NA,"(+49)211 797 0","Henkel EU Office Rue Marie de Bourgogne 58","Brussels","1000",NA,"(+32)2 206 3062","Henkel Management AG as sole personally liable partner","represented by its Management Board","Peter Boris Schmitt","Head of EU Office Brussels, Manager Political Infrastructure&Processes","Henkel operates globally with a well-balanced and diversified portfolio. The company holds leading positions with its three business units in both industrial and consumer businesses thanks to strong brands, innovations and technologies. Henkel Adhesive Technologies is the global leader in the adhesives market – across all industry segments worldwide. In its Laundry & Home Care and Beauty Care businesses, Henkel holds leading positions in many markets and categories around the world.  
 
Founded in 1876, Henkel looks back on more than 141 years of success. In the fiscal year 2017, the company reported sales of approx. 20 billion euros and an operating profit of around 3.5 billion euros (adjusted for one-time gains/charges and restructuring charges). 
Henkel’s preferred shares are listed in the German stock index DAX. The DAX-30 company has its headquarters in Düsseldorf, Germany.  
 
Henkel employs more than 53,000 people worldwide, almost 85 percent of whom work outside of Germany. As a recognized leader in sustainability, Henkel holds top positions in many international ratings and rankings. 
 
Our vision: Leading with our innovations, brands and technologies.  
Our purpose: creating sustainable value.  
Our values: we put our customers and consumers at the center of what we do.  
We value, challenge and reward our people.  
We drive excellent sustainable financial performance.  
We are committed to leadership in sustainability. We shape our future with a strong entrepreneurial spirit based on our family business tradition.","European, global","- Trade Policy  
- Sustainability Policy (Circular Economy) 
- Consumer Policy  
- Better Regulation Agenda - Refit Agenda 
- Digital Union","-",NA,NA,"NA",3,1.5,3,"FOCKENBROCK#Anna Lena, SCHMITT#Peter Boris, THIERE#Christian","Business and Industry, Economy, finance and the euro, Trade, Competition, Consumers, Customs, Employment and Social Affairs, Business and Industry, Environment, Taxation, Justice and Fundamental Rights, Single market, Foreign affairs and security policy, Regional Policy, Research and innovation, External Relations, Public Health, Digital economy and society, Transport, Climate Action, Communication","Henkel is member of various trade and professional associations on national as well as on international level. 
On European level Henkel is member of the following associations:  
AIM (Association des Industries de Marque); 
A.I.S.E. (Association Internationale de la Savonnerie, de la Détergence et des Produits d'Entretien); 
Business Europe; 
Cosmetics Europe; 
ERT European Roundtable of Industrialists; 
ERF European Risk Forum  
DAI, Deutsches Aktieninstitut 
VCI;  
BDI;","http://www.aim.be/about-aim/members 
http://www.aise.eu/about-aise/members.aspx 
http://www.businesseurope.eu/content/default.asp?PageID=604 
https://www.cosmeticseurope.eu/about-cosmetics-europe/cosmetics-europe-membership/active-corporate-members.html 
https://www.dai.de/de/ 
http://www.ert.eu/members 
https://www.vci.de/startseite.jsp 
http://bdi.eu/","01/01/2017","01/12/2017",NA,"700000-799999",0,NA,NA,NA,NA,850000,"Adhesives projects (continous)"
"209","Johnson & Johnson","75617941310-89",NA,"06/03/2009","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Johnson & Johnson (J&J)","Corporation","http://www.jnj.com","United States","Johnson & Johnson Plaza, One","New Brunswick, New Jersey","08933",NA,"(+1 732)524 0400","15, Leonardo Da Vincilaan","Diegem","1831",NA,"(+32)27463000","Alex Gorsky","Chairman and CEO","Zeger Vercouteren","Vice President Gov Aff & Pol. EMEA","At Johnson & Johnson, we believe good health is the foundation of vibrant lives, thriving communities and forward progress. That’s why for more than 130 years, we have aimed to keep people well at every age and every stage of life. Today, as the world’s largest and most broadly-based health care company, we are committed to using our reach and size for good. We strive to improve access and affordability, create healthier communities, and put a healthy mind, body and environment within reach of everyone, everywhere. We are blending our heart, science and ingenuity to profoundly change the trajectory of health for humanity.","global","Cosmetics legislation and policy; selfcare; REACH, RoHs, WEEE, EEE, Medical devices Review, In Vitro Diagnostics Review, Clinical Trials legislation, Falsified Medicines, Transparency legislations, chemicals; environmental initiatives, climate change, Research, competitiveness of industrial sectors, Prevention and lifestyle, Vaccines; IMI2; Trade: CETA, TTIP, EU-Japan, EU India.",NA,NA,NA,"NA",15,5,13,"ALBANESE#Arianna, BELLOMO#Luca , Carpentier#Kunegonde, DOROKHOVA#Irina, De Vroey#Anouk, Hughes#David, KRUKOWSKA#Agnieszka, LLOYD DAVIES#Mark, MARANÉS#Gustavo, PSYRRA#Irene , TEMPRA#Alessandro, VERCOUTEREN#Zeger, ZILLI#Veronica","Business and Industry, Economy, finance and the euro, Humanitarian aid and civil protection, Trade, Competition, Consumers, International co-operation and development, Customs, Enlargement, Employment and Social Affairs, Business and Industry, Environment, Taxation, Justice and Fundamental Rights, Single market, Research and innovation, Public Health, Food Safety, Digital economy and society, Climate Action","EFPIA, Cosmetics Europe, MedTech Europe, AmCham EU/BE, BritCham, EBE, EVM, COCIR, AESGP, Euromcontact, EJF, CSR Europe, EASSI, AIM, EDANA, EDMA, NIA, EPC Global, the EPC, EPAA, EU40.",NA,"01/01/2017","01/12/2017",NA,"1000000-1249999",0,NA,NA,NA,NA,NA,NA
"210","Louis Dreyfus Group","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","LUKOIL","04927146320-85",NA,"28/07/2011","II - In-house lobbyists and trade/business/professional associations","Companies & groups","LUKOIL (LUKOIL)","Public Joint Stock Company (PJSC)","http://www.lukoil.com","Russia, Federation Of","Sretensky Boulevard, 11","Moscow","101000",NA,"(+7495)6274444","Medialaan 50","Vilvoorde","B - 1800",NA,"(+32)22541687","Bulat Subaev","Managing Director, LUKOIL BELGIUM N.V.","Maxim Bunin","Director, Corporate Affairs, LUKOIL BELGIUM N.V.","LUKOIL is one of the largest publicly traded, vertically integrated energy companies in the world. The corporate mission of LUKOIL is to make the energy of natural resources serve the interests of mankind. Every day millions of consumers worldwide buy LUKOIL products, energy and heat, improving the quality of their life.  
 
LUKOIL’s main activities are exploration and production of oil and gas, refining and marketing of oil products and petrochemicals, as well as power generation. LUKOIL has developed new energy solutions in order to minimise the environmental impact, including renewable energy sources: hydroelectric, solar and wind generation.   
 
LUKOIL conducts its business in a responsible and sustainable way, seeking to strike a balance between supporting communities, contributing to the economy and preserving the environment. The company stringently abides by the highest global environmental standards, shares the principles of the United Nations Global Compact ensuring high levels of occupational safety and health. 
 
LUKOIL corporate governance system is based on international best practices and fully incorporates the principles of openness, regulatory requirements, fair competition, and transparency. 
 
LUKOIL ordinary shares are admitted to the Moscow Exchange. LUKOIL depositary receipts are listed on the London and Frankfurt Stock Exchanges, as well as on the US OTC market.","European, global, national","-Energy Union Governance   
-Reform of the Emissions Trading System 
-Promotion of Renewable Energy Recast 
-VAT Reform","The main priority of the company is to monitor developments at EU level and to ensure timely and accurate implementation of upcoming legislation.  
High-level management and employees with special expertise are invited to support the work of the permanent employees when necessary.  
Events may be organised to raise awareness about the company and to allow for more transparency. Company views on EU policy are also discussed at such events.",NA,NA,"NA",2,2,3,"BUNIN#Maxim, GERASIMOV#Vladimir, KOTOROVA#Eva Maria","Economy, finance and the euro, Trade, Customs, Energy, Business and Industry, Environment, Taxation, Single market, Maritime affairs and fisheries, Transport, Climate Action","LUKOIL is member of the following European associations and organisations: 
 
- BUSINESSEUROPE 
- European Petroleum Refiners Association  
- European Energy Forum 
- CSR Europe  
- CEFIC",NA,"01/01/2017","01/12/2017",NA,"400000-499999",0,NA,NA,NA,NA,NA,NA
"212","Newmont Mining Corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Oando Plc","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Sasol Limited","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Sibur","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Syngenta International AG","596796520126-28",NA,"30/12/2015","I - Professional consultancies/law firms/self-employed consultants","Law firms","Steptoe & Johnson LLP (Steptoe)","Limited liability partnership","http://www.steptoe.com","United States","1330 Connecticut Avenue, NW","Washington","DC 20036",NA,"(+1)202 429 3000","Avenue Louise 489","Brussels","1050",NA,"(+32)2626 0500","Gwendolyn  Renigar","Partner","Philip Woolfson","Partner","For more than six decades, Steptoe has established a reputation for vigorous advocacy in complex litigation and arbitration, successful representation of clients before governmental agencies, and practical advice in guiding business transactions.  The firm is known for its ability to help clients solve multidimensional problems, particularly those with a governmental aspect.","European, global, national, regional/local","We advise on various EU law matters, mainly in relation to our EU practices: Environment and Life Sciences; Financial Services; Anti-Trust; Trade; and Energy.","Transatlantic Perspectives on the Iran Nuclear Deal and Sanctions Compliance 
A Steptoe and barristers' chambers Brick Court Chambers sponsored event 
December 10, 2015 
 
Digitizing Financial Services in Europe: Managing Risks, Maximizing Benefits 
June 25, 2015",NA,NA,"NA",6,1.5,5,"ABRAHAMS#Darren, HIRSBRUNNER #Simon, SEARLES#James, SPROGE#Julija, Woolfson#Philip","Business and Industry, Economy, finance and the euro, Agriculture and Rural Development, Culture and media, Trade, Competition, Consumers, Customs, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Justice and Fundamental Rights, Single market, Maritime affairs and fisheries, Foreign affairs and security policy, Research and innovation, External Relations, Trans-European Networks, Public Health, Food Safety, Digital economy and society, Transport, Climate Action, Banking and financial services","Lex Mundi 
International Bar Association 
American Chambers of Commerce to the EU and to Belgium 
Association Internationale du Droit des Assurances 
Swiss Chamber of Commerce 
Green Lane Association",NA,"01/01/2017","01/12/2017",NA,"100000-199999",127000,NA,"Association of Bermuda Insurers and Reinsurers (ABIR)# Association of International Life Offices (AILO)# Syngenta International AG# Schweizerische Bankiervereinigung",NA,NA,NA,NA
"217","Teck Resources Limited","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","HNA Group Co Ltd","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Nike Inc","393423121496-65",NA,"22/04/2016","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Nike, Inc.","Nike European Operations Netherlands B.V.","http://www.nike.com","United States","One Bowerman Drive","Beaverton, Oregon","97005",NA,"(+1)5036716453","Rue d'Idalie 11-13","Brussels","1050","7","(+32)26464405","Bill Berner","Europe General Counsel - Nike European Operations Netherlands B.V.","Toni Garcia","Director Government and Public Affairs EMEA","Nike, Inc. based near Beaverton, Oregon, is the world's leading designer, marketer, and distributor of authentic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities. Wholly owned Nike subsidiaries include Converse, Inc., Hurley International LLC, which designs, markets and distributes actions sports and youth lifestyle footwear, apparel and accessories. For more information, visit www.nikebiz.com. 
 
Nike's headquarters for Western Europe (WE) and Central and Eastern Europe (CEE) are based in Hilversum, The Netherlands. The distribution and customer service facility for the same region is based in Laakdal, Belgium. The region covering Western Europe (WE) and Central and Eastern Europe (CEE) accounts for 16,096 employees. 
 
As stated in recent Sustainable Business Performance reports, Nike has a code of ethics for all employees called ""Inside the Lines"". It defines the standards of conduct we expect employees to follow and includes a range of topics on employee activity, ethical behavior, product safety, legal compliance, competition and use of resources. Each year, all Nike employees are required to verify that they have read and understand ""Inside the Lines"".  
 
Nike follows the provisions of the U.S. Foreign Corrupt Practices Act (FCPA).","European, global, national, regional/local","Nike, Inc. is following EU initiatives, policies and legislative files on 
- External trade policy and trade agreements 
- Intellectual property rights, innovation, and anti-counterfeiting policies 
- Global supply chain issues 
- Corporate social responsibility  
- Tax, grants and funding 
- Environment and circular economy 
- Consumer, product safety and product labelling 
- Sports policy 
- Social and employment affairs 
- Digital economy 
- Competition 
- Privacy and data protection",NA,NA,NA,"NA",4,4,3,"GARCIA ROJALS#Antonio Sergio, Gass#Marjorie, PERSSON#INGRID","Business and Industry, Economy, finance and the euro, Culture and media, Trade, Competition, Consumers, Customs, Education and training, Employment and Social Affairs, Business and Industry, Environment, Taxation, Single market, Research and innovation, External Relations, Public Health, Digital economy and society, Sport, Transport","- AmCham EU (www.amchameu.eu) - American Chamber of Commerce to the EU 
- FESI (www.fesi-sport.org) - Federation of European Sporting Goods Industry 
- AIM (www.aim.be) - European Brands Association 
- WFA (www.wfanet.org) - World Federation of Advertisers 
- EBCA (www.ebca-europe.org) - European Branded Clothing Alliance",NA,"01/06/2017","01/04/2018",NA,"900000-999999",0,NA,NA,NA,NA,NA,NA
"220","Nissan Motor Co Limited","814112514572-47",NA,"03/10/2014","II - In-house lobbyists and trade/business/professional associations","Trade and business associations","ASOCIACIÓN ESPAÑOLA DE FABRICANTES DE AUTOMÓVILES Y CAMIONES (ANFAC)","Asociación Profesional sin animo de lucro","http://www.anfac.es","Spain","C/ Orense, Edificio Iberia Mart II, 34, 9ªPlt","Madrid","28020",NA,"(+34)913431343",NA,NA,NA,NA,NA,"Mario Armero","Vicepresidente ejecutivo","Arancha García Hermo","Responsable del Área Industrial","ANFAC representa los intereses comunes de los fabricantes de vehículos implantados comercial e industrialmente en España. 
Sus asociados son: 
         - Abarth 
         - Alfa Romeo 
         - Automóviles Citroën España 
         - BMW Ibérica, S.A. 
         - Chrysler 
         - Dacia 
         - DAF Trucks 
         - Dodge 
         - DS Automobiles 
         - FIAT Group Automoviles Spain 
         - FIAT Professional 
         - Ford España 
         - General Motors España 
         - Hyundai Motor España 
         - Infiniti España 
         - Iveco España 
         - Jaguar Land Rover España S.L.U. 
         - Jeep 
         - KIA Motors España 
         - Lancia 
         - Land Rover 
         - Lexus 
         - MAN Truck and Bus Iberia 
         - Mazda España 
         - Mercedes-Benz España 
         - MINI España 
         - Mitsubishi España 
         - NISSAN Motor Iberica 
         - Opel España 
         - Peugeot Citroën Automóviles España 
         - Peugeot España 
         - Porsche Ibérica 
         - Renault 
         - Renault Trucks 
         - SCANIA Hispania 
         - SEAT 
         - Skoda 
         - Smart 
         - Ssangyong España 
         - Subaru España 
         - Toyota España 
         - Volkswagen Group España Distribución 
         - Volkswagen Navarra 
         - Volkswagen Vehículos Comerciales 
         - Volvo Group Truck Sales España","national","- Internal Market (sounds levels of motor vehicles, exhaust emissions, weights and dimensions, roadworthiness, ITS, e-call, General Safety Regulation). 
- External trade (free trade agreement with South Korea, negotiations with USA, India and Japan). 
- Climate action (CO 2 emissions from passenger cars and light commercial vehicles, mobile air conditionning systems, alternative fuel infrastructure) 
- Enviroment (end-of-life vehicles, resource efficiency, fuel quality, REACH) 
- CARS 2020 
- Invesment Plan 
- Stability and Growth Pact",NA,NA,NA,"NA",4,1,NA,NA,"Business and Industry, Trade, Competition, Consumers, Customs, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Single market, Research and innovation, External Relations, Trans-European Networks, Digital economy and society, Transport, Climate Action","- ACEA: Association des Constructeurs Européens d'Automobiles 
- OICA: Organisation Internationale des Constructeurs d’Automobiles 
- ODETTE: Organisation for Data Exchange by Tele Transmission in Europe",NA,"01/01/2017","01/12/2017",NA,"10000-24999",0,NA,NA,NA,NA,NA,NA
"221","Mitsui & Co Ltd","161758528401-20",NA,"21/09/2017","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Sumitomo Mitsui Banking Corporation (SMBC)","Bank","http://www.smbc.co.jp/global/","Japan","1-1-2, Marunouchi, Chiyoda-ku","Tokyo","100-0005",NA,"(+81)332828111","Rue Montoyer 51, Box 6","Brussels",NA,NA,"(+32)25515000","Tomohiro Yamazaki","Group Head of Regulatory Affairs","Takahito Oka","Head of Financial Research Department, London","SMBC would like to explain our concerns about the proposal on the intermediate parent undertaking (“IPU”) which will be a significant issue for Japanese banks.","global","Comprehensive package of reforms to EU Banking Rules, comprising of proposed amendments to the Capital Requirements Regulation (“CRR”), the Capital Requirements Directive (“CRD”) and the Bank Recovery and Resolution Directive (“BRRD”), which was published by the European Commission (the “Commission”) on November 23, 2016.",NA,NA,NA,"NA",5,1.25,NA,NA,"Economy, finance and the euro, Banking and financial services","Japanese Bankers Association",NA,"01/04/2017","01/03/2018",NA,"25000-49999",0,NA,NA,NA,NA,NA,NA
"222","Suntory Holdings Limited","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Alghanim Industries","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Antofagasta Minerals Plc","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","BAE Systems Plc","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Ecolab Inc","969504320672-09",NA,"14/02/2016","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Ecolab, Inc. (ECL)","corporation","http://ecolab.com","United States","Ecolab, Inc. 300 New Jersey Ave NW","District of Columbia","20001",NA,"(+1)2025344932",NA,NA,NA,NA,NA,"Nancy Levenson","VP Govt Relations","Nancy Levenson","VP Govt Relations","US multinational company with business divisions in hygiene, food safety, water managment and energy services","global","environmental policy, chemical management, biocides authorisation, industrial water policy and energy policy.",NA,NA,"Globe EU/The BEE Group, MEP Water Group","NA",4,1,NA,NA,"Economy, finance and the euro, Agriculture and Rural Development, Trade, Energy, Business and Industry, Environment, Taxation, Single market, Public Health, Food Safety, Climate Action","CEFIC, AISE, WssTP, and EU AmCham, Globe EU/ The BEE Group",NA,"01/01/2017","01/12/2017",806590,NA,0,NA,NA,NA,NA,NA,NA
"227","EMBRAER SA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Eni SpA","99578067285-35",NA,"29/11/2011","II - In-house lobbyists and trade/business/professional associations","Companies & groups","Eni S.p.A.","Publicly Listed Corporation","http://www.eni.com","Italy","Piazzale E. Mattei, 1","Rome","00144",NA,"(+39)0659821","Avenue des Arts, 56","Bruxelles","1000",NA,"(+32)023572690","Claudio Descalzi","Chief Executive Officer","Fabio Marchetti","Head of European Government Affairs - VP","Eni is a major integrated energy company, committed to growth in the activities of finding, producing, transporting, transforming and marketing oil and gas as well as developing renewable energy.","global","Energy Union, Climate and energy policy, carbon pricing, Fitness check of the refining industry, gas market reform, competition policy, foreign policy in as much as it is related to countries in which Eni operates or countries that have an impact on our operations. Development policy, access to energy, innovation and R&D.",NA,NA,NA,"NA",9,4.5,7,"BORELLA#Alessandra, CONFORTI#Vincenzo, MARCHETTI#Fabio, NANTE#Francesca , PEDRINI#Camilla , TENTI#Duccio Maria, TORELLO#Alessandro","Business and Industry, Economy, finance and the euro, Trade, Competition, Consumers, International co-operation and development, Enlargement, Energy, Business and Industry, Environment, Single market, Foreign affairs and security policy, External Relations, Trans-European Networks, Climate Action","BUSINESS/INDUSTRY ASSOCIATIONS:  
 
- Eurogas 
- Solar Power Europe 
- European Biofuel Board 
- IOGP (International Oil and Gas Producers) 
- FuelsEurope - Concawe 
- EFET 
- Business Europe 
- Confindustria (Brussels) 
- European Roundtable of Industrialists (ERT) 
- CEFIC (through Eni's chemical's branch VERSALIS) 
- Plastics Europe (through Eni's chemical's branch VERSALIS)","THINKTANKS 
- Friends of Europe 
- Bruegel 
- European Energy Forum 
- BREC (Brussels Energy Club)","01/01/2017","01/12/2017",NA,"1000000-1249999",0,NA,NA,NA,NA,NA,NA
"229","GMR Group","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
